"","event_name","creation_date","duration","rsvp","venue_name","venue_rating","rating_count","venue.city","address_1","lat","long","group_name","group_rating","category_name"
"31","Jonathan Swift's Modest Proposal and other essays",2017-07-10,2.5,8,"bakery lovely",4.22,32,"Chicago","1130 milwaukee",41.90208,-87.66496,"Modernist Fiction, Its Origins and Beyond... and other stuff","4.94","Book Clubs"
"32","Jonathan Swift's Poetry",2017-07-10,2,6,"bakery lovely",4.22,32,"Chicago","1130 milwaukee",41.90208,-87.66496,"Modernist Fiction, Its Origins and Beyond... and other stuff","4.94","Book Clubs"
"33","Be a Top FIGURE Model!",2017-07-11,3,3,"Ft Mason Center",4.5,2,"San Francisco","Landmark Building B Rm 207",37.777119,-122.41964,"The San Francisco Figure Drawing Group","4.72","Arts & Culture"
"34","Startup Expo (Admission Tickets)",2017-07-12,4,18,"The Mezzanine @ Bond Collective",5,1,"New York City","55 Broadway",40.706825,-74.013031,"StrtupBoost","4.87","Career & Business"
"35","October  Book Club",2017-07-14,2,10,"Basil Leaf Cafe",4.07,15,"Chicago","2465 N. Clark Street",41.927042,-87.641049,"Womens Night Out Book Club","4.67","Book Clubs"
"36","The Paris Wife - Paula McLain",2017-07-15,3,11,"Schoolyard Tavern & Grill",0,0,"Chicago","3258 North Southport Avenue",41.941467,-87.664108,"Read Between the Wines Chicago 20s/30s","4.96","Book Clubs"
"37","The Brief Wondrous Life of Oscar Wao - Junot Diaz",2017-07-15,3,2,"Lady Gregory's Bar and Restaurant",0,0,"Chicago","5260 N Clark Street",41.977886,-87.668617,"Read Between the Wines Chicago 20s/30s","4.96","Book Clubs"
"38","The Second Mrs. Hockaday - Susan Rivers",2017-07-15,3,23,"State Bar",4.44,9,"Chicago","935 W Webster Street, (Lincoln Park)",41.921497,-87.652473,"Read Between the Wines Chicago 20s/30s","4.96","Book Clubs"
"39","Of Mice and Men - John Steinbeck",2017-07-16,3,4,"Cafe La Boheme",4.37,46,"San Francisco","3318 24th Street",37.752293,-122.418953,"1001 Books You Must Read Before You Die - San Francisco","4.46","Book Clubs"
"40","October: Witches, Sluts, Feminists: Conjuring the Sex Positive by K. Sollee",2017-07-19,2.25,68,"Double Union - Feminist Hacker + Maker Space",5,17,"San Francisco","1250 Missouri St. #111",37.750607,-122.395676,"San Francisco Feminist Book Club","4.96","Book Clubs"
"41","Sketch-Up at Oz Park",2017-07-24,2,7,"Oz Park",0,0,"Chicago","2021 N Burling Street",41.918751,-87.646744,"Sketch-up (Chicago Sketchbook Group)","4.94","Arts & Culture"
"42","Sketch-Up at Field Museum (DRY MEDIA ONLY)",2017-07-24,2,3,"The Field Museum",0,0,"Chicago","1400 South Lake Shore Drive",41.866261,-87.616982,"Sketch-up (Chicago Sketchbook Group)","4.94","Arts & Culture"
"43","KLIMT & RODIN: An Artistic Encounter",2017-08-02,3,20,"Legion of Honor",5,2,"San Francisco","100 34th Avenue",37.784466,-122.500839,"San Francisco Museum Meetup","5.00","Arts & Culture"
"44","Robert Rauschenberg: Erasing the Rules",2017-08-02,3,4,"San Francisco Museum of Modern Art",0,0,"San Francisco","151 3rd Street",37.785717,-122.401054,"San Francisco Museum Meetup","5.00","Arts & Culture"
"45","Purple Hibiscus by Chimamanda Ngozi Adichie",2017-08-07,3,19,"Member's home",0,0,"Chicago","Lincoln Park neighborhood",41.921436,-87.651306,"Drinking Team with a Reading Problem","4.77","Book Clubs"
"46","Applications for GENIUS NY 2.0 Now Open",2017-08-09,3,7,"From Your Home or Smartphone",4.5,2,"New York City","Wherever You Live or Work",40.714352,-74.005974,"The NYC Business Networking Group (NYCBNG): Award Winner!","4.59","Career & Business"
"47","Something Wicked This Way Comes by Ray Bradbury",2017-08-12,3,36,"Brando's Speakeasy",4.38,84,"Chicago","343 S Dearborn St",41.877525,-87.62899,"Happy Hour Book Club in the Loop","4.72","Book Clubs"
"48","Black Hole by Charles Burns",2017-08-12,3,11,"Brando's Speakeasy",4.38,84,"Chicago","343 S Dearborn St",41.877525,-87.62899,"Happy Hour Book Club in the Loop","4.72","Book Clubs"
"49","And Then There Were None by Agatha Christie",2017-08-12,3,8,"Brando's Speakeasy",4.38,84,"Chicago","343 S Dearborn St",41.877525,-87.62899,"Happy Hour Book Club in the Loop","4.72","Book Clubs"
"50","New York 2140, by Kim Stanley Robinson",2017-08-12,1.5,7,"Cafe Hestia",4,1,"New York City","686 3rd Ave #2 (by 43rd Street--a block north of the Chrysler Building)",40.712784,-74.005943,"20/30 something book club","4.86","Book Clubs"
"51","Holiday Book Grab Bag",2017-08-12,1,10,"Cafe Hestia",4,1,"New York City","686 3rd Ave #2 (by 43rd Street--a block north of the Chrysler Building)",40.712784,-74.005943,"20/30 something book club","4.86","Book Clubs"
"52","The Fellowship: The Literary Lives of the Inklings, by Philip & Carol Zaleski",2017-08-13,2,6,"Cafe Hestia",4,1,"New York City","686 3rd Ave #2 (by 43rd Street--a block north of the Chrysler Building)",40.712784,-74.005943,"20/30 Something LongReads Book Club","5.00","Book Clubs"
"53","Duly Noted - A Musical Improv Jam at The Playground - Learn and Play for Only $5",2017-08-15,1.5,2,"Playground Improv Theater Inc",0,0,"Chicago","3209 N Halsted St",41.940319,-87.649162,"Stand & Deliver Performing Arts - Improv Meetup Group","3.80","Arts & Culture"
"54","Duly Noted - A Musical Improv Jam at The Playground - Learn and Play for Only $5",2017-08-15,1.5,2,"Playground Improv Theater Inc",0,0,"Chicago","3209 N Halsted St",41.940319,-87.649162,"Stand & Deliver Performing Arts - Improv Meetup Group","3.80","Arts & Culture"
"55","Smart Mobility Powered by the Open Innovation Club",2017-08-15,3,32,"Prime - French Tech Hub",4.86,7,"San Francisco","2415, 3rd street",37.759193,-122.388054,"French & US Innovators & Entrepreneurs in Silicon Valley","4.70","Career & Business"
"56","Robotics Powered by the Open Innovation Club",2017-08-15,3,3,"Prime - French Tech Hub",4.86,7,"San Francisco","2415, 3rd street",37.759193,-122.388054,"French & US Innovators & Entrepreneurs in Silicon Valley","4.70","Career & Business"
"57","Chatbot Powered by the Open Innovation Club",2017-08-15,3,3,"Prime - French Tech Hub",4.86,7,"San Francisco","2415, 3rd street",37.759193,-122.388054,"French & US Innovators & Entrepreneurs in Silicon Valley","4.70","Career & Business"
"58","Chicago Sinfonietta: Regressar /Revisit - A Dia de Los Muertos Celebration",2017-08-21,3,27,"Chicago Symphony Center",4.84,110,"Chicago","220 S Michigan Ave",41.878904,-87.624402,"Chicago Culture and Arts Club","4.65","Arts & Culture"
"59","Network After Work at Virgin Hotel",2017-08-23,3,110,"Cerise Rooftop",0,0,"Chicago","203 N. Wabash, 26th Floor, Chicago",41.886066,-87.625854,"Network After Work-Chicago Networking Events","4.53","Career & Business"
"60","NYC Online Lending Meetup",2017-08-23,2,28,"Orchard Platform",4.81,16,"New York City","386 Park Avenue South",40.743027,-73.984818,"Online Lending","4.80","Career & Business"
"61","The Last Pig Screening",2017-08-24,2.5,8,"San Francisco Public Library",4.73,128,"San Francisco","100 Larkin Street",37.778877,-122.415787,"SF Free School","4.60","Career & Business"
"62","Sketching in the Gallery at The Morgan Library and Museum",2017-08-26,2,15,"The Morgan Library and Museum",4.69,36,"New York City","225 Madison Avenue at 36th Street",40.74905,-73.982024,"Drawing New York","4.96","Arts & Culture"
"63","Power Networking at Joy District!",2017-08-29,3,28,"Joy District Chicago",4.6,5,"Chicago","112 West Hubbard Street",41.890255,-87.63176,"Trailblazers, Entrepreneurs & Innovators","4.99","Career & Business"
"64","Power Networking at Joy District!",2017-08-29,3,20,"Joy District Chicago",0,0,"Chicago","112 West Hubbard Street",41.890255,-87.63176,"Chicago Financial Industry Entrepreneurs and Startups","5.00","Career & Business"
"65","ACCELERATE WORKSHOP NYC 2017: The Science of Scaling Efficiently",2017-08-29,3,9,"Pride Global (Flight Deck NYC)",4,1,"New York City","420 Lexington Avenue",40.752686,-73.975899,"Amazon Sellers Unite NYC","4.96","Career & Business"
"66","Power Networking at Joy District!",2017-08-29,3,16,"Joy District Chicago",0,0,"Chicago","112 West Hubbard Street",41.890255,-87.63176,"The Chicago Opportunities Group","4.85","Career & Business"
"67","Power Networking at Joy District!",2017-08-29,3,6,"Joy District Chicago",0,0,"Chicago","112 West Hubbard Street",41.890255,-87.63176,"Chicago Entrepreneur Group","4.87","Career & Business"
"68","Power Networking at Joy District!",2017-08-30,3,14,"Joy District Chicago",4.6,5,"Chicago","112 West Hubbard Street",41.890255,-87.63176,"The Chicago Latino Professionals Meetup Group","4.76","Career & Business"
"69","Power Networking at Joy District!",2017-08-30,3,7,"Joy District",4.86,7,"Chicago","112 W Hubbard",41.890255,-87.63176,"CardXchange Chicago: Business & Social Networking","4.95","Career & Business"
"70","Power Networking at Joy District!",2017-08-30,3,13,"Joy District Chicago",4.6,5,"Chicago","112 West Hubbard Street",41.890255,-87.63176,"The Chicago Entrepreneur Group","4.91","Career & Business"
"71","Power Networking at Joy District!",2017-08-30,3,11,"Joy District Chicago",4.6,5,"Chicago","112 West Hubbard Street",41.890255,-87.63176,"Networking Insiderzedge Style Chicago","4.85","Career & Business"
"72","Power Networking at Joy District!",2017-08-30,3,15,"Joy District Chicago",0,0,"Chicago","112 West Hubbard Street",41.890255,-87.63176,"The Chicago Entrepreneurs","5.00","Career & Business"
"73","62) Rebecca by Daphne Du Maurier",2017-08-30,3,28,"Becca's Place",5,2,"Chicago","Pilsen",41.850216,-87.667343,"Logan Square Book Club","4.74","Book Clubs"
"74","ACCELERATE WORKSHOP NYC 2017: The Science of Scaling Efficiently",2017-08-31,3,13,"Pride Global (Flight Deck NYC)",4,1,"New York City","420 Lexington Avenue",40.752686,-73.975899,"New York Amazon Sellers","5.00","Career & Business"
"75","Network After Work at Stock In Trade",2017-08-31,3,105,"Stock in Trade",4.5,6,"San Francisco","2036 Lombard St",37.799915,-122.435532,"Network After Work - San Francisco Networking Events","4.60","Career & Business"
"76","Power Networking at Joy District!",2017-09-01,3,11,"Joy District Chicago",0,0,"Chicago","112 West Hubbard Street",41.890255,-87.63176,"Chicago Jobs Meetup","4.98","Career & Business"
"77","Power Networking at Joy District!",2017-09-02,3,8,"Joy District Chicago",0,0,"Chicago","112 West Hubbard Street",41.890255,-87.63176,"Passion-Driven Entrepreneurs","5.00","Career & Business"
"78","Power Networking at Joy District!",2017-09-02,3,10,"Joy District Chicago",3,1,"Chicago","112 West Hubbard Street",41.890255,-87.63176,"Young Professionals of Chicago","4.95","Career & Business"
"79","UNDERGROUND NEW YORK CITY (Private Group Tour)",2017-09-02,3,27,"Starbucks",0,0,"New York City","38 Park Row #4",40.711586,-74.006683,"New York City Friends & Professionals","4.33","Career & Business"
"80","UNDERGROUND NEW YORK CITY (Private Group Tour)",2017-09-02,3,27,"Starbucks",0,0,"New York City","38 Park Row #4",40.711586,-74.006683,"Really Fun NYC Events","4.87","Career & Business"
"81","Let's see the Korean movie Split",2017-09-03,2,1,"AMC River East 21",4.48,495,"Chicago","322 E. Illinois Street",41.891026,-87.618912,"Chicago Asian American Acting Industry","5.00","Arts & Culture"
"82","Network After Work at Redford",2017-09-06,3,106,"Redford",3,1,"San Francisco","673 Geary Street",37.786373,-122.414322,"Network After Work - San Francisco Networking Events","4.60","Career & Business"
"83","FiDi Toastmasters - SF Financial District!",2017-09-07,1,8,"One Sansome Street, 12th Floor",5,3,"San Francisco","U.S. Dept. of HUD",37.774929,-122.419418,"District 4 Toastmasters Public Speaking & Leadership Meetup","4.79","Career & Business"
"84","FiDi Toastmasters - SF Financial District!",2017-09-07,1,7,"One Sansome Street, 12th Floor",5,3,"San Francisco","U.S. Dept. of HUD",37.774929,-122.419418,"District 4 Toastmasters Public Speaking & Leadership Meetup","4.79","Career & Business"
"85","FiDi Toastmasters - SF Financial District!",2017-09-07,1,8,"One Sansome Street, 12th Floor",5,3,"San Francisco","U.S. Dept. of HUD",37.774929,-122.419418,"District 4 Toastmasters Public Speaking & Leadership Meetup","4.79","Career & Business"
"86","Happy Hour at Grand Central:A Casual After Work Party Discount Drinks Great Food",2017-09-09,2.5,1,"Meet at The Great Northern Food Hall at Grand Central",0,0,"New York City","located inside Vanderbilt Hall on the 42nd street Main Entrance",0,0,"Really Fun NYC Events","4.87","Career & Business"
"87","Live Model Drawing - National Arts Club",2017-09-10,2,8,"The National Arts Club",4.82,120,"New York City","15 Gramercy Park South",40.737694,-73.986702,"Drawing New York","4.96","Arts & Culture"
"88","Live Model Drawing - Union Square",2017-09-10,2.5,27,"The International Seafarers House",4.73,71,"New York City","123 East 15 Street",40.734631,-73.988091,"Drawing New York","4.96","Arts & Culture"
"89","The Great Murder Mystery at Grand Central Scavenger Hunt and Party *PRE-PAY ONLY",2017-09-11,3,1,"Meet at The Great Northern Food Hall at Grand Central",0,0,"New York City","located inside Vanderbilt Hall on the 42nd street Main Entrance",0,0,"Really Fun NYC Events","4.87","Career & Business"
"90","Grand Central History Tour and Happy Hour *PRE-PAY ONLY EVENT*",2017-09-11,3,1,"Meet at The Great Northern Food Hall at Grand Central",0,0,"New York City","located inside Vanderbilt Hall on the 42nd street Main Entrance",0,0,"Really Fun NYC Events","4.87","Career & Business"
"91","Surprise Bookshelf Series: Daren Wang: The Hidden Light of Northern Fires",2017-09-11,3,1,"American Writers Museum",0,0,"Chicago","180 North Michigan Avenue",41.885189,-87.62471,"The American Writers Museum","0.00","Book Clubs"
"92","Tuesday First Books: Alexis Okeowo: A Moonless, Starless Sky",2017-09-11,3,1,"American Writers Museum",0,0,"Chicago","180 North Michigan Avenue",41.885189,-87.62471,"The American Writers Museum","0.00","Book Clubs"
"93","Surprise Bookshelf Series: James McGrath Morris: The Ambulance Drivers",2017-09-11,3,1,"American Writers Museum",0,0,"Chicago","180 North Michigan Avenue",41.885189,-87.62471,"The American Writers Museum","0.00","Book Clubs"
"94","Childrens Author Storytime (Patricia Toht)",2017-09-11,3,1,"American Writers Museum",0,0,"Chicago","180 North Michigan Avenue",41.885189,-87.62471,"The American Writers Museum","0.00","Book Clubs"
"95","Liesl Olson: Chicago Renaissance: Literature and Art in the Midwest Metropolis",2017-09-11,3,2,"American Writers Museum",0,0,"Chicago","180 North Michigan Avenue",41.885189,-87.62471,"The American Writers Museum","0.00","Book Clubs"
"96","Surprise Bookshelf Series: Heid Erdrich",2017-09-11,3,1,"American Writers Museum",0,0,"Chicago","180 North Michigan Avenue",41.885189,-87.62471,"The American Writers Museum","0.00","Book Clubs"
"97","Let's see Yoni Ki Baat",2017-09-12,3,1,"Biograph Theater",3,2,"Chicago","2433 North Lincoln Avenue",41.926342,-87.649864,"Chicago Asian American Acting Industry","5.00","Arts & Culture"
"98","Meet and Network with Us at Fogo De Chao!",2017-09-14,3,8,"Fogo de Cho Brazilian Steakhouse",0,0,"Chicago","661 North LaSalle Drive",41.894165,-87.632401,"Trailblazers, Entrepreneurs & Innovators","4.99","Career & Business"
"99","Meet and Network with Us at Fogo De Chao!",2017-09-14,3,14,"Fogo de Chao",0,0,"Chicago","661 North LaSalle Drive",41.894047,-87.632538,"Chicago Financial Industry Entrepreneurs and Startups","5.00","Career & Business"
"100","Meet and Network with Us at Fogo De Chao!",2017-09-14,3,6,"Fogo de Cho Brazilian Steakhouse",0,0,"Chicago","661 North LaSalle Drive",41.894165,-87.632401,"The Chicago Entrepreneurs","5.00","Career & Business"
"101","Meet and Network with Us at Fogo De Chao!",2017-09-14,3,6,"Fogo de Cho Brazilian Steakhouse",0,0,"Chicago","661 North LaSalle Drive",41.894165,-87.632401,"CardXchange Chicago: Business & Social Networking","4.95","Career & Business"
"102","Meet and Network with Us at Fogo De Chao!",2017-09-14,3,10,"Fogo de Cho Brazilian Steakhouse",0,0,"Chicago","661 North LaSalle Drive",41.894165,-87.632401,"The Chicago Entrepreneur Group","4.91","Career & Business"
"103","Meet and Network with Us at Fogo De Chao!",2017-09-14,3,6,"Fogo de Cho Brazilian Steakhouse",0,0,"Chicago","661 North LaSalle Drive",41.894165,-87.632401,"Networking Insiderzedge Style Chicago","4.85","Career & Business"
"104","Meet and Network with Us at Fogo De Chao!",2017-09-14,3,10,"Fogo de Chao",0,0,"Chicago","661 North LaSalle Drive",41.894047,-87.632538,"The Chicago Latino Professionals Meetup Group","4.76","Career & Business"
"105","Meet and Network with Us at Fogo De Chao!",2017-09-14,3,5,"Fogo de Cho Brazilian Steakhouse",0,0,"Chicago","661 North LaSalle Drive",41.894165,-87.632401,"Chicago's Business Networking  Group","5.00","Career & Business"
"106","Watercolor Basics - Part 2!",2017-09-14,2.5,1,"filmfront",4.75,4,"Chicago","1740 W 18th St",41.85799,-87.670303,"Art With Boris","5.00","Arts & Culture"
"107","November's book club meeting",2017-09-15,3,6,"Crossroads Cafe",4.28,25,"San Francisco","699 Delancey St",37.783028,-122.389137,"The San Francisco Girly Book Club","4.66","Book Clubs"
"108","Seinfeld Trivia Meetup",2017-09-16,2,25,"The Bryant Park Lounge (Residence Inn Marriott - Times Square)",4,1,"New York City","1033 Avenue of the Americas, 3rd Floor",40.752853,-73.985962,"Alternative Fun Stuff to do in NYC","4.71","Career & Business"
"109","Seinfeld Trivia Meetup",2017-09-16,2,25,"The Bryant Park Lounge (Residence Inn Marriott - Times Square)",4,1,"New York City","1033 Avenue of the Americas, 3rd Floor",40.752853,-73.985962,"New York City Friends & Professionals","4.33","Career & Business"
"110","Seinfeld Trivia Night... Hello, Jerry.",2017-09-16,2,23,"The Bryant Park Lounge (Residence Inn Marriott - Times Square)",4,1,"New York City","1033 Avenue of the Americas, 3rd Floor",40.752853,-73.985962,"Really Fun NYC Events","4.87","Career & Business"
"111","Meet and Network at Fogo De Chao!",2017-09-16,3,8,"Fogo de Cho Brazilian Steakhouse",0,0,"Chicago","661 North LaSalle Drive",41.894165,-87.632401,"Chicago Jobs Meetup","4.98","Career & Business"
"112","Meet and Network at Fogo De Chao!",2017-09-16,3,6,"Fogo de Cho Brazilian Steakhouse",0,0,"Chicago","661 North LaSalle Drive",41.894165,-87.632401,"Young Professionals of Chicago","4.95","Career & Business"
"113","Meet and Network at Fogo De Chao!",2017-09-16,3,8,"Fogo de Cho Brazilian Steakhouse",0,0,"Chicago","661 North LaSalle Drive",41.894165,-87.632401,"The Chicago Opportunities Group","4.85","Career & Business"
"114","Arabian Nights: Tales of 1001 Nights",2017-09-18,3,2,"bakery lovely",4.22,32,"Chicago","1130 milwaukee",41.90208,-87.66496,"Modernist Fiction, Its Origins and Beyond... and other stuff","4.94","Book Clubs"
"115","Mason & Dixon Part 3",2017-09-18,2,3,"bakery lovely",4.22,32,"Chicago","1130 milwaukee",41.90208,-87.66496,"Modernist Fiction, Its Origins and Beyond... and other stuff","4.94","Book Clubs"
"116","The Handmaid's Tale - Margaret Atwood",2017-09-18,3,3,"Cafe La Boheme",4.37,46,"San Francisco","3318 24th Street",37.752293,-122.418953,"1001 Books You Must Read Before You Die - San Francisco","4.46","Book Clubs"
"117","Book Club Meeting: The Girl With All The Gifts by M.R. Carey",2017-09-18,2,45,"Sisters Uptown Bookstore and Cultural Center, Inc.",4.9,29,"New York City","1942 Amsterdam Ave",40.83248,-73.942635,"Mocha Girls Read - Harlem","4.90","Book Clubs"
"118","Peter Durand in town to teach us Graphic Facilitation & Recording",2017-09-18,1.5,2,"Downtown location, TBD",1,1,"Chicago","TBD",42.056324,-87.750305,"Design Thinking Chicago","4.88","Career & Business"
"119","Sketchy Hour at Richard's Bar",2017-09-19,2,9,"Richard's Bar",0,0,"Chicago","491 North Milwaukee Avenue",41.890968,-87.646965,"Sketch-up (Chicago Sketchbook Group)","4.94","Arts & Culture"
"120","Improv Games for Technologists",2017-09-19,3.25,55,"Google Launch Pad",5,1,"San Francisco","301 Howard",37.789528,-122.394279,"SF Improv","0.00","Arts & Culture"
"121","Birds of Beauty painting party! Painting Class and Event $19!",2017-09-19,3,1,"Hotel Majestic",4.33,3,"San Francisco","1500 Sutter St",37.787094,-122.425415,"San Francisco - Painting Class - Paint Party - Join Us!","0.00","Arts & Culture"
"122","Nov/Dec Meetup: The History of Bees Maja Lunde http://bit.ly/2f3H1TK",2017-09-19,3,17,"Heartland Cafe",3.8,275,"Chicago","7000 North Glenwood",42.009998,-87.669998,"The Far Northside Co-Ed Book Club","4.66","Book Clubs"
"123","January Meetup: Lincoln in the Bardo George Saunders http://bit.ly/2vLXTbK",2017-09-19,3,17,"Heartland Cafe",3.8,275,"Chicago","7000 North Glenwood",42.009998,-87.669998,"The Far Northside Co-Ed Book Club","4.66","Book Clubs"
"124","February Meetup: The Ministry of Utmost Happiness Arundhati Roy",2017-09-19,3,15,"Heartland Cafe",3.8,275,"Chicago","7000 North Glenwood",42.009998,-87.669998,"The Far Northside Co-Ed Book Club","4.66","Book Clubs"
